module_code,module_title,module_faculty,module_department,top_k_mean_sim,rank_top_k_sim,top_k_max_sim,top_k_min_sim,breadth_n_ssoc_groups,rank_breadth,coverage_n_jobs,coverage_pct,rank_coverage
ID4103,Design Detailing,College of Design and Engineering,Industrial Design,0.6707519292831421,326,0.67529296875,0.66162109375,3,8,2502,35.23,732
ZB3289,Advanced UROPS in Computational Biology II,Science,Biological Sciences,0.6705077886581421,327,0.69091796875,0.66064453125,3,8,2002,28.19,989
MUA3208,Creative Producing for Performers,YST Conservatory of Music,YSTCM Dean's Office,0.6705077886581421,327,0.70947265625,0.63623046875,7,4,3522,49.6,341
FST1101B,Science and Technology of Foods,Science,Food Science and Technology,0.670458972454071,328,0.72216796875,0.615234375,5,6,942,13.27,1744
TBA3222,Marketing Analytics,Cont and Lifelong Education,SCALE Dean's Office,0.670458972454071,328,0.71875,0.6513671875,5,6,3588,50.53,321
SA4101C,Software Analysis and Design,NUS-ISS,NUS-ISS,0.67041015625,329,0.71728515625,0.65087890625,3,8,1970,27.74,1007
MUA2241,Collaborative Piano - Vocal Accompaniment,YST Conservatory of Music,YSTCM Dean's Office,0.67041015625,329,0.72998046875,0.6513671875,1,10,3452,48.61,363
UTS2891,Complex AI issues confronting Singapore and the World,Residential College,Acacia College,0.67041015625,329,0.7021484375,0.6474609375,6,5,3255,45.84,425
AR4104,Architectural & Technology Design 2,College of Design and Engineering,Architecture,0.670361340045929,330,0.6875,0.65234375,3,8,1015,14.29,1683
ME4223E,Thermal Environmental Engineering,Cont and Lifelong Education,SCALE Dean's Office,0.670361340045929,330,0.728515625,0.64892578125,2,9,1284,18.08,1464
FIN3701A,Corporate Finance,NUS Business School,Finance,0.6703125238418579,331,0.71044921875,0.65234375,3,8,2302,32.42,837
LL4395V,The Law & Practice of Modern Trust Structures,Law,FoL Dean's Office,0.6703125238418579,331,0.685546875,0.6611328125,2,9,2447,34.46,760
LL4395,The Law & Practice of Modern Trust Structures,Law,FoL Dean's Office,0.6703125238418579,331,0.685546875,0.6611328125,2,9,2447,34.46,760
FIN3101A,Corporate Finance,NUS Business School,Finance,0.6703125238418579,331,0.71044921875,0.65234375,3,8,2302,32.42,837
FIN3101,Corporate Finance,NUS Business School,Finance,0.6703125238418579,331,0.71044921875,0.65234375,3,8,2302,32.42,837
FIN3101B,Corporate Finance,NUS Business School,Finance,0.6703125238418579,331,0.71044921875,0.65234375,3,8,2302,32.42,837
IE3100M,System Design Project,College of Design and Engineering,Industrial Systems Engineering and Management,0.6703125238418579,331,0.69189453125,0.66015625,3,8,3558,50.11,330
FIN3701B,Corporate Finance,NUS Business School,Finance,0.6703125238418579,331,0.71044921875,0.65234375,3,8,2302,32.42,837
FIN3701D,Corporate Finance,NUS Business School,Finance,0.6703125238418579,331,0.71044921875,0.65234375,3,8,2302,32.42,837
FIN3701C,Corporate Finance,NUS Business School,Finance,0.6703125238418579,331,0.71044921875,0.65234375,3,8,2302,32.42,837
FIN3701,Corporate Finance,NUS Business School,Finance,0.6703125238418579,331,0.71044921875,0.65234375,3,8,2302,32.42,837
FIN3101C,Corporate Finance,NUS Business School,Finance,0.6703125238418579,331,0.71044921875,0.65234375,3,8,2302,32.42,837
UTS2110,Happiness By Design,Residential College,Tembusu College,0.6700683832168579,332,0.681640625,0.66259765625,6,5,4499,63.36,139
UTC2110,Happiness By Design,Residential College,Tembusu College,0.6700683832168579,332,0.681640625,0.66259765625,6,5,4499,63.36,139
NM4401,Honours Thesis,Arts and Social Science,Communications and New Media,0.669970691204071,333,0.69091796875,0.6494140625,8,3,2943,41.44,542
NM4401HM,Honours Thesis,Arts and Social Science,Communications and New Media,0.669970691204071,333,0.69091796875,0.6494140625,8,3,2943,41.44,542
AR3721,Building Environmental System Modelling,College of Design and Engineering,Architecture,0.669921875,334,0.7001953125,0.646484375,4,7,2059,29.0,963
ID4401,Spatial Computing: Design and Development,College of Design and Engineering,Industrial Design,0.6698242425918579,335,0.71044921875,0.6533203125,5,6,2440,34.36,767
GEH1002,Economic Issues in Dev World,Arts and Social Science,Economics,0.6698242425918579,335,0.673828125,0.6591796875,3,8,4838,68.13,91
ESP4401,Optimisation of Energy Systems,College of Design and Engineering,Engineering Science Programme,0.6697753667831421,336,0.703125,0.6591796875,2,9,1794,25.26,1111
MLE4102A,Design Project,College of Design and Engineering,Materials Science and Engineering,0.6697753667831421,336,0.6875,0.6650390625,2,9,3080,43.37,482
LAC4201HM,Chinese 5,Arts and Social Science,Centre for Language Studies,0.6697753667831421,336,0.67431640625,0.66162109375,3,8,2155,30.35,907
LAC4201,Chinese 5,Arts and Social Science,Centre for Language Studies,0.6697753667831421,336,0.67431640625,0.66162109375,3,8,2155,30.35,907
LL4489,Corporate Law and Economics,Law,FoL Dean's Office,0.669726550579071,337,0.6943359375,0.65576171875,2,9,4629,65.19,113
LL4489V,Corporate Law and Economics,Law,FoL Dean's Office,0.669726550579071,337,0.6943359375,0.65576171875,2,9,4629,65.19,113
MLE4205,Theory and Modelling of Materials Properties,College of Design and Engineering,Materials Science and Engineering,0.669677734375,338,0.73681640625,0.62158203125,2,9,1054,14.84,1650
MNO3322,Negotiations and Bargaining,NUS Business School,Management and Organisation,0.669677734375,338,0.669921875,0.66943359375,1,10,5144,72.44,55
ME2105,Principles of Mechatronics and Automation,College of Design and Engineering,Mechanical Engineering,0.669628918170929,339,0.7509765625,0.64990234375,1,10,913,12.86,1769
EE4101E,Radio-Frequency (RF) Communications,Cont and Lifelong Education,SCALE Dean's Office,0.669628918170929,339,0.7451171875,0.6357421875,3,8,1024,14.42,1675
ACC3714,Accounting for Entrepreneurs: From Startup to Exit,NUS Business School,Accounting,0.669628918170929,339,0.6904296875,0.6533203125,3,8,4173,58.77,197
EX3010,Exchange Technical Essential,College of Design and Engineering,CDE Dean's Office,0.6695801019668579,340,0.70849609375,0.65869140625,8,3,6415,90.34,4
BN4108,Biomedical Engineering for Global Health,College of Design and Engineering,Biomedical Engineering,0.6695312261581421,341,0.68798828125,0.654296875,6,5,3325,46.82,399
BN3101,Biomedical Engineering Design,College of Design and Engineering,Biomedical Engineering,0.6695312261581421,341,0.6982421875,0.65966796875,2,9,1670,23.52,1196
IE4215,Machine Learning for Industrial Engineering,College of Design and Engineering,Industrial Systems Engineering and Management,0.669482409954071,342,0.69873046875,0.65869140625,3,8,2774,39.06,612
LL4453V,Fashion Law,Law,FoL Dean's Office,0.66943359375,343,0.68115234375,0.66162109375,1,10,4821,67.89,96
WR1401,Workplace Readiness,Residential College,Ridge View Residential College,0.66943359375,343,0.67138671875,0.66748046875,1,10,4704,66.24,105
LL4453,Fashion Law,Law,FoL Dean's Office,0.66943359375,343,0.68115234375,0.66162109375,1,10,4821,67.89,96
GEN2060Y,Reconnect SeniorsSG,NUS,Office of the Provost,0.6692870855331421,344,0.703125,0.646484375,6,5,2122,29.88,924
GEN2060X,Reconnect SeniorsSG,NUS,Office of the Provost,0.6692870855331421,344,0.703125,0.646484375,6,5,2122,29.88,924
GEN2060,Reconnect SeniorsSG,NUS,Office of the Provost,0.6692870855331421,344,0.703125,0.646484375,6,5,2122,29.88,924
CN4123E,Design Project,Cont and Lifelong Education,SCALE Dean's Office,0.669238269329071,345,0.69091796875,0.658203125,3,8,2380,33.52,793
FIN3113,Financial Statement Analysis,NUS Business School,Finance,0.669238269329071,345,0.7109375,0.64453125,4,7,1136,16.0,1584
CN4123,Design Project,College of Design and Engineering,Chemical and Biomolecular Engineering,0.669238269329071,345,0.69091796875,0.658203125,3,8,2380,33.52,793
UTC2732,Rethinking Ageing: Potential for Integration,Residential College,Residential College 4,0.669140636920929,346,0.6767578125,0.662109375,5,6,3224,45.4,434
RE4702,Professional Practice and Ethics,NUS Business School,Real Estate,0.669140636920929,346,0.712890625,0.6484375,3,8,4231,59.58,185
UTS2717,Rethinking Ageing: Potential for Integration,Residential College,Residential College 4,0.669140636920929,346,0.6767578125,0.662109375,5,6,3224,45.4,434
BT4013,Analytics for Capital Market Trading and Investment,Computing,Information Systems and Analytics,0.6690429449081421,347,0.70556640625,0.65673828125,3,8,574,8.08,2087
